product_id,name,category_slug,category_name,overall_rating,g2_rating,capterra_rating,review_count,founded_year,hq_location,has_free_tier,has_free_trial,has_custom_pricing,price_comparable,entry_price,max_price_monthly,plan_count,feature_count,website_url,comparedge_url
67,10Web,website-builders,Website Builders,4.55,4.6,4.5,0,2017,"Yerevan, Armenia / Wilmington, DE",False,False,False,True,10.0,60.0,3,9,https://10web.io,https://comparedge.com/tools/10web
157,1Password,password-managers,Password Managers,4.75,4.8,4.7,0,2006,,False,False,False,True,2.99,7.99,3,14,https://1password.com,https://comparedge.com/tools/1password
292,1inch,defi-tools,DeFi Tools,4.3,4.3,,0,2019,Cayman Islands,True,False,False,True,,0.0,1,10,https://1inch.io,https://comparedge.com/tools/1inch
265,3Commas,crypto-trading-bots,Crypto Trading Bots,4.25,4.3,4.2,0,2017,"Tallinn, Estonia",True,False,False,True,15.0,60.0,4,12,https://3commas.io,https://comparedge.com/tools/3commas
87,A2 Hosting,cloud-hosting,Cloud Hosting,4.35,4.3,4.4,0,2003,"Ann Arbor, MI",False,False,False,True,2.99,14.99,4,9,https://www.a2hosting.com,https://comparedge.com/tools/a2-hosting
196,AI21 Studio,ai-writing,AI Writing,4.35,4.4,4.3,0,2017,,True,False,True,True,39.0,39.0,3,6,https://studio.ai21.com,https://comparedge.com/tools/ai21-labs
43,AWeber,email-marketing,Email Marketing,4.3,4.2,4.4,0,1998,"Chalfont, PA",True,False,False,True,14.99,899.0,4,12,https://www.aweber.com,https://comparedge.com/tools/aweber
286,Accointing (Blockpit),crypto-tax,Crypto Tax,4.1,4.1,,0,2017,"Vienna, Austria",True,False,False,True,49.0,199.0,4,6,https://www.blockpit.io,https://comparedge.com/tools/accointing
39,ActiveCampaign,email-marketing,Email Marketing,4.55,4.5,4.6,0,2003,"Chicago, IL",False,False,False,True,15.0,145.0,4,17,https://www.activecampaign.com,https://comparedge.com/tools/activecampaign
170,Adobe Firefly,ai-image,AI Image Generators,4.45,4.4,4.5,0,2023,,True,False,False,True,5.0,5.0,2,5,https://firefly.adobe.com,https://comparedge.com/tools/adobe-firefly
98,Adobe Illustrator,design-tools,Design Tools,4.65,4.6,4.7,0,1987,"San Jose, CA (Adobe)",False,False,False,True,22.99,59.99,2,6,https://www.adobe.com/products/illustrator.html,https://comparedge.com/tools/adobe-illustrator
99,Adobe Photoshop,design-tools,Design Tools,4.7,4.6,4.8,0,1990,"San Jose, CA (Adobe)",False,False,False,True,9.99,59.99,3,8,https://www.adobe.com/products/photoshop.html,https://comparedge.com/tools/adobe-photoshop
222,Adobe Podcast (Enhance),ai-voice,AI Voice & Audio,4.6,4.6,4.6,0,2022,,True,False,False,True,5.0,5.0,2,4,https://podcast.adobe.com,https://comparedge.com/tools/adobe-podcast
93,Adobe XD,design-tools,Design Tools,4.4,4.3,4.5,0,2016,"San Jose, CA (Adobe)",False,False,False,True,59.99,59.99,1,14,https://www.adobe.com/products/xd.html,https://comparedge.com/tools/adobe-xd
97,Affinity Designer,design-tools,Design Tools,4.6,4.5,4.7,0,2014,"Nottingham, UK (Canva)",False,False,False,True,14.99,169.99,3,6,https://affinity.serif.com/en-us/designer/,https://comparedge.com/tools/affinity-designer
14,Airtable,project-management,Project Management,4.65,4.6,4.7,0,2012,"San Francisco, CA",True,False,True,True,20.0,45.0,4,13,https://airtable.com,https://comparedge.com/tools/airtable
118,Akaunting,accounting,Accounting,4.3,4.2,4.4,0,2017,"London, UK",True,False,False,True,15.0,15.0,2,13,https://akaunting.com,https://comparedge.com/tools/money-manager
272,Altrady,crypto-trading-bots,Crypto Trading Bots,4.2,4.2,,0,2018,"Amsterdam, Netherlands",True,False,False,True,19.0,55.0,4,9,https://altrady.com,https://comparedge.com/tools/altrady
71,Amazon Web Services (AWS),cloud-hosting,Cloud Hosting,4.55,4.5,4.6,0,2006,"Seattle, WA",True,False,True,True,,0.0,2,19,https://aws.amazon.com,https://comparedge.com/tools/aws
212,Anthropic API (Claude),llm,Large Language Models,4.65,4.7,4.6,0,2021,,False,False,True,True,,0.0,2,9,https://anthropic.com/api,https://comparedge.com/tools/claude-api
129,Around,video-conferencing,Video Conferencing,4.35,4.4,4.3,0,2020,"San Francisco, CA (Miro)",True,False,False,True,,0.0,1,4,https://www.around.co,https://comparedge.com/tools/around
3,Asana,project-management,Project Management,4.45,4.4,4.5,0,2008,"San Francisco, CA",True,False,True,True,10.99,24.99,4,15,https://asana.com,https://comparedge.com/tools/asana
36,Attio,crm,CRM,4.75,4.8,4.7,0,2019,"London, UK",True,False,True,True,34.0,69.0,4,11,https://attio.com,https://comparedge.com/tools/attio
250,AutoGPT,ai-agents,AI Agents,3.75,3.8,3.7,0,2023,,True,False,False,True,,0.0,2,18,https://agpt.co,https://comparedge.com/tools/autogpt
307,BONKbot,crypto-telegram-bots,Crypto Telegram Bots,4.0,4.0,,0,2023,Unknown,True,False,False,True,,0.0,1,4,https://bonkbot.io,https://comparedge.com/tools/bonkbot
306,Banana Gun,crypto-telegram-bots,Crypto Telegram Bots,4.3,4.3,,0,2023,Unknown,True,False,False,True,,0.0,1,9,https://bananagun.io,https://comparedge.com/tools/banana-gun
7,Basecamp,project-management,Project Management,4.2,4.1,4.3,0,2004,"Chicago, IL",True,False,False,True,15.0,299.0,3,9,https://basecamp.com,https://comparedge.com/tools/basecamp
