tool_name,category,vertical,free_plan,starting_price_usd,highest_plan_price_usd,plan_count,rating,features_count,website
"Notion",project-management,Business,true,0,18,4,4.7,32,https://www.notion.com
"ClickUp",project-management,Business,true,0,12,4,4.7,47,https://clickup.com
"Asana",project-management,Business,true,0,24.99,4,4.4,31,https://asana.com
"monday.com",project-management,Business,true,0,19,5,4.7,45,https://monday.com
"Trello",project-management,Business,true,0,17.5,4,4.4,18,https://trello.com
"Jira",project-management,Business,true,0,14.54,4,4.3,42,https://www.atlassian.com/software/jira
"Basecamp",project-management,Business,true,0,299,3,4.1,14,https://basecamp.com
"Wrike",project-management,Business,true,0,25,4,4.2,39,https://www.wrike.com
"Teamwork",project-management,Business,true,0,69.99,4,4.4,45,https://www.teamwork.com
"Linear",project-management,Business,true,0,16,4,4.6,22,https://linear.app
"Height",project-management,Business,true,0,15,3,4.8,25,https://height.app
"Hive",project-management,Business,true,0,12,4,4.6,40,https://hive.com
"Smartsheet",project-management,Business,false,9,19,3,4.5,35,https://www.smartsheet.com
"Airtable",project-management,Business,true,0,45,4,4.6,27,https://airtable.com
"Todoist",project-management,Business,true,0,8,3,4.4,43,https://todoist.com
"Miro",project-management,Business,true,0,20,4,4.8,28,https://miro.com
"Coda",project-management,Business,true,0,30,4,4.7,24,https://coda.io
"Shortcut (formerly Clubhouse)",project-management,Business,true,0,12,4,4.3,15,https://shortcut.com
"Nifty",project-management,Business,true,0,399,4,4.7,15,https://niftypm.com
"Zoho Projects",project-management,Business,true,0,10,3,4.3,15,https://www.zoho.com/projects/
"Salesforce",crm,Business,false,25,330,4,4.4,15,https://www.salesforce.com
"HubSpot",crm,Business,true,0,3600,4,4.4,15,https://www.hubspot.com
"Pipedrive",crm,Business,false,14,99,5,4.3,31,https://www.pipedrive.com
"Zoho CRM",crm,Business,true,0,65,5,4.1,15,https://www.zoho.com/crm/
"Freshsales",crm,Business,true,0,71,4,4.5,15,https://www.freshworks.com/crm/sales/
"Close",crm,Business,false,49,139,3,4.7,15,https://close.com
"Copper",crm,Business,false,12,134,4,4.5,22,https://www.copper.com
"Insightly",crm,Business,true,0,99,4,4.2,15,https://www.insightly.com
"Keap",crm,Business,false,299,599,3,4.2,38,https://keap.com
"Streak",crm,Business,true,0,129,5,4.5,15,https://www.streak.com
"Nutshell",crm,Business,false,19,89,5,4.3,15,https://www.nutshell.com
"Less Annoying CRM",crm,Business,false,15,15,1,4.9,15,https://www.lessannoyingcrm.com
"monday CRM",crm,Business,false,12,28,4,4.6,15,https://monday.com/crm
"Folk",crm,Business,false,24,48,3,4.7,15,https://www.folk.app
"Capsule CRM",crm,Business,true,0,75,5,4.7,15,https://capsulecrm.com
"Attio",crm,Business,true,0,69,4,4.8,15,https://attio.com
"Mailchimp",email-marketing,Business,true,0,350,4,4.4,36,https://mailchimp.com
"Kit (ConvertKit)",email-marketing,Business,true,0,66,3,4.4,15,https://kit.com
"ActiveCampaign",email-marketing,Business,false,15,145,4,4.5,48,https://www.activecampaign.com
"Brevo (Sendinblue)",email-marketing,Business,false,9,49,4,4.5,15,https://www.brevo.com
"Klaviyo",email-marketing,Business,true,0,35,3,4.6,41,https://www.klaviyo.com
"Drip",email-marketing,Business,false,39,39,1,4.4,15,https://www.drip.com
"AWeber",email-marketing,Business,true,0,899,4,4.2,15,https://www.aweber.com
"GetResponse",email-marketing,Business,true,0,119,5,4.2,15,https://www.getresponse.com
"Constant Contact",email-marketing,Business,false,12,80,3,4,31,https://www.constantcontact.com
"MailerLite",email-marketing,Business,true,0,20,4,4.7,15,https://www.mailerlite.com
"beehiiv",email-marketing,Business,true,0,96,4,4.7,19,https://www.beehiiv.com
"Omnisend",email-marketing,Business,true,0,59,3,4.6,15,https://www.omnisend.com
"Moosend",email-marketing,Business,false,9,9,2,4.6,15,https://moosend.com
"Campaign Monitor",email-marketing,Business,false,12,159,3,4.1,15,https://www.campaignmonitor.com
"Sender",email-marketing,Business,true,0,35,4,4.4,15,https://www.sender.net
"Flodesk",email-marketing,Business,true,0,64,4,4,15,https://flodesk.com
"Buttondown",email-marketing,Business,true,0,79,4,4.6,15,https://buttondown.com
"Loops",email-marketing,Business,true,0,599,4,4.8,15,https://loops.so
"WordPress.com",website-builders,Business,true,0,45,5,4.4,48,https://wordpress.com
"Wix",website-builders,Business,true,0,159,5,4.2,38,https://www.wix.com
"Squarespace",website-builders,Business,false,16,65,4,4.4,15,https://www.squarespace.com
"Webflow",website-builders,Business,true,0,39,5,4.4,33,https://webflow.com
"Framer",website-builders,Business,true,0,30,5,4.5,15,https://www.framer.com
